"ID","ID_PK","Goal","Learn","Long_Goal"
"11510","6310","an RN assistant","valueable skills that will help me in the workforce","becoming an RN at a Baptist Health hospital"
"11513","6311","a cashier at a local esablishment","dependability and responsiblity that can later be used after college","obtaining a nursing degree"
"11499","6312","successful completion of the engineering degree program at Arkansas State University","the skills required to be an engineer","a flourishing career in engineering"
"11511","6313","an employee of Sonic Drive-In and be a full time student","responsibility and financial awareness","earning a college degree in mathematics"
"11502","6314","a neurosurgeon. ","the many different capibilities of the brain and spinal cord, and the variety of disorders in the brain. ","earing a pre-med degree and entering medical school afterward"
"11517","6315","an intern with a fashion magazine. ","how a magazine is produced, as well as allow me to network  within the fashion, photographer, designer, model, and journalist community. ","being a photojournalist for a fashion magazine. "
"11501","6316","an anesthesiologist","how to deliver anesthesia to patients during surgical procedures, how to care for patients in ICU","earning a pre-med degree"
"11514","6317","a pharmacist's assistant","how to communicate with customers and get a feel for the environment","earning a Doctor of Pharmacy degree"
"11506","6318","Becoming a full time student at UALR","Going to UALR will help me keep my focus on my future career. ","Nursing "
"11505","6319","My primary goal is to work as a secretary for you and the rest of your staff. ","This position will assist me by giving me the inside view of how the education department, the Mashburn Institue, and the SIM model work  ","achieving my college degree in middle level education"
"11518","6320","Medical assistant","the basic actividies of a hospital and the skills I will need to aquire","becoming a physician"
"11507","6321","My immediate goal is to work during the weekends as a casheir and tend to the store as needed. ","hhh","As I work at Dude's place., my long term goal is to begin college and become a child Psychiatrist"
"11500","6322","an intern under Dr. Jimmy Tucker","the skills needed to become an efficent  surgeon","getting into medical school to become an Orthopaedic Surgeion myself"
"11523","6323","Geek Squad","how to be a good geek","becoming the best geek ever"
"11526","6324","My immediate goal is to work as an apprentist plumber as im going through school","This position will help me learn how to be a journey men plumber","as i pursue my long- term goal of plumbing i will be earing my licence for plumbing "
"11531","6325","Fire Fighter","How to help people under danger, character, and the love for helping people","Retiring as a fire fighter"
"11530","6326","FIre fighter for the city of cabot","responsibility, respect, putting others before myself","getting my college degree and becoming a fire fighter full time"
"11524","6327","Pediatrician","To help kids that need any medical assitant. ","earning a college degree in nursing and then get my degree in pediatrics"
"11528","6328","RN","About patients and be able to help their wants and needs","earning a college degree in nursing "
"11534","6329","Nurse","how to take care of a patient","doing a Masters in Nursing"
"11529","6330","Athletic Trainer ","skills necessary to prevent and treat sports related injuries and illnesses","earn a masters degree in sports medicine from Arkansas State University"
"11525","6331","Civil Engineer","How to build and learn about civil engineering","Finish 4 year college and getting a degree"
"11626","6418","a barn manager","management skills","owning my own stables"
"11966","6669","A pediatric nurse","working with children","being a Pediatrician"
"9267","4937","Massage Therapist","the nerve system of the human body","getting a college degree in massage therapy"
"10677","5810","a Retail or Casher "," how to be nicer and how to help people","earning a law degree in criminal Defense "
"10679","5811","a cashier for Walmart","how to develop good relationships with people, and how to deal with a high-pressure situation","earning money in order to attend college"
"10939","5995","a Certified Nursing Assistant 1","the basic hospital care of a patient ","earning a college degree in nursing"
"11527","6332","a nurse in the pediatrics, until I become a Pediatrician","to help children who need medical care","getting a degree in Pediatrics"
"11536","6333","A delivery driver","how to drive fast and safe at the same time","becoming a racecar driver"
"11522","6334","Graphic Artist","Art","Photoshop"
"11533","6335","My immediate goal is to work as a model.This position will help me learn competition and the skills of what it takes to be a model. ","This position will help me learn what work goes into modeling that its not all easy","as I pursue my long-term goal of modeling"
"11557","6370","start my freshman year of college in August","further my education","earning a college degree in electrical engineering"
"11563","6371","Customer relations at Prevail Fitness","discipline, time management, and social interaction in a health oriented field","earning a college degree in dietetics/nutritional science"
"11707","6484","a medical office assistant","office procedures","home healthcare provider"
"11718","6486","Is to be an assistant teacher at a high school","how too work with children","earing my high school degree i will work hard too ensure my dream come's true"
"11714","6487","My career goal is to work as a Caregiver at a Daycare","This postion help me learn how to work better with kids","As I puresue my long-term goal  in getting my college degree in Child Development"
"11717","6488","a crew member at the local Sam's Club","better teamwork skills and how to experience other options in the world","working in warehouses all over the United States serving in the military"
"11715","6489","my career goals is to work as a cosmetology as  a hairstyles","it will help me with communcation skills meeting people outside my culture","as i purse my long trem goal as a cosmetology i will learn the basic of styleing hair"
"11722","6490","truck driver","how to manage time better and to navigate better also","recieveing my masters degree in foreics"
"11716","6491","My immediate goal is to work as an sales assistant ","This position will hepl me learn how to be a people preson, how to deal will diffrant people everyday, diffraint situation and responsabilities","As i pursue my long-term goal of an sales assistant ill get all the education i will need to be sucessfull in this area as a sales assistant"
"11719","6492","my immediate goal is to be a store manager","this position willl help me learn how to  communicate better with people and understand there needs"," as i pursue my long term goals as been a manager"
"11136","6554","an intern at the local sherrif's department","to work in the field of criminal justice and to become familiar with work procedures","a private investigator"
"11802","6566","is to work in the Emergency Room at a hospital as a Certified Nursing Assistant"," will help me obtain valuable skills and  pay for medical school","is to become an Emergency Room Physician"
"11803","6567","a Certified Nursing Assistant at the Kings Mountain Hospital. ","more about hands-on care with patients. It will also ensure me that I am in the right career field 
","becoming a Pediatrician. "
"11882","6606","any available","how to support myself","earning a college degree in education"
"11878","6607","To get a part time job as a cashier ","Help People","Earn a college degree in the Medical Field"
"10160","5466","Actress","The Character","earning a college degree in Theater/Film"
"10161","5467","a part-time seasonal cashier or stock clerk position ","more about experiences on working and earn money for my own","becoming a doctor"
"10164","5468","a Cashier/ Stock Clerk","to deal with money and organization","earning a college degree in legal secretary "
"10165","5469","a dental assistant","dental procedures key for becoming an orthodontist","earning a masters degree in orthodontics"
"10172","5470","a journalist for a newspaper","what it's like to work under a deadline","becoming a novelist. "
"10178","5471","a horse trainer","training methods","earning a college degree in natural horsemanship"
"10180","5472","an interior design intern","basic design concepts ","earning a college degree in art"
"10179","5473","an intern for anesthesia","basic procedures and everyday tasks","eventually earning my masters in anesthesiology"
"10167","5474","Recreational Guide","how to work with other people","becoming a zoologist"
"10185","5475","A grocery store worker","job experience and dealing with people","earning a college degree in physical therapy"
"10173","5476","Medical Intern at Deaconess Medical Hospital","Skills for my future career, organization of a working job, time management of this career field","Pediatrician"
"10182","5477","an athletic trainer","how to treat injuries as well as build muscles","earning a college degree in physical therapy"
"10181","5478","a marine biologist","about fish and their environments","earning a college degree in biology"
"10174","5479","My immediate goal is to work as a driving instructor. ","This position will help me learn how to teach and how to have morre self control","as I pursue my long-term goal of being a driving instructor"
"10169","5481","Candy Striper","Getting a career as a Candy Striper will teach me how a hopital functions and I will be able to see what field I would like to go into at the hospital","ER Head Nurse
"
"10187","5482","A sales representative","Skills needed in sales","Going through and graduating college"
"10184","5483","parts and floor manager at CDA Yamaha motor sports","about different parts that go to all off-road motor vehicles. ","working with other employee's selling motor vehicles and make my job fun i will make money and meet great people along the way"
"10176","5484","My immediate goal is to work as an athletic coach in a sport or sports","This position will help me learn how to socialize with others, and the sports or sports","as I pursue my long-term goal of taking 4 years in college"
"10175","5485","in a grocery store to build more of a work ethnic.
","more responsibility and better communication skills.



 ","becoming a detective/investigator"
"10177","5486","A daycare helper","Responsibility, how kids work, and people skills","being a great and humble person"
"10170","5487","An assistant at a veterinary clinic","what it takes to become a veterinarian","becoming a veterinarian"
"10171","5488","Dental hygienist trainee","work experience, dental procedures, and running equipment","earning a degree and getting my license in Dental Hygiene"
"10190","5489","a international business coordinator","become more able to make decisions and solve problems, communicating with individuals in a workplace situation, and obtaining information. ","earning a degree in bio-chemistry and attending and graduating medical school and eventually becoming a trauma surgeon in the Air Force"
"10191","5490","a sandwich maker
","how to work with others and learn communication and get job experience","massage therapy"
"10192","5491","a photgrapher","the skills of capturing the perfect picture","becoming a professional photographer"
"10192","5492","a photgrapher","the skills of capturing the perfect picture","becoming a professional photographer"
"10199","5493","waitress","to communicate, interact with others, learn to get things done fast","becoming a forensic scientist in criminal justice"
"10197","5494","a part time employee for this establishment","how to better my leadership and team working skills. As well as helping me save money for college","becoming an Equine Veterinarian"
"10195","5495","a student","the curriculum","becoming a petroleum engineer"
"10201","5496","hostess","orginazation and social skills","earning a college degree in theropy"
"10208","5497","a stocker at Cosco","to better understand the importance of getting a job done on time and following directions","becoming a Nuclear Engineer"
"10204","5498","An architectural construction worker","more about the pprucedures involved in architecture","Obtaining a high position in the architecture business"
"10200","5499","a stocker at lowes in Coeur d alene","work place skills and hands on experience as well as future requirements for advancement","earning my associates in engineering at Spokane Community College"
"10205","5500","a child care provider","child nutrition, working with others, and tollerance of children","earning a college degree in dental hygenistry"
"10194","5501","stocker","how a grocery store operates day to day and how to manage a business","of owning and managing my own restaurant"
"10206","5502","janitorial","how to clean machine parts (ex. lawnmowers",": N/A"
"10193","5503","Bassist in a Band","Notes in bass clef and how to act live on a stage","Go to college and earn a Bachalor Degree in Music Production"
"10207","5504","a gymnastics coach","working in large groups, and working with children","improving my social skills, and working well with others"
"10202","5505","a waitress. ","how to communicate, listen to others, and interact with people around me. ","earning my nursing degree"
"10209","5506","Game attendant at Silverwood Theme Park","how to work with others","earning a college degree in special education"
"10196","5507","Stocker in Ziggy's","Business organization and better my knowledge with home improvement","Being a restaraunt manager in Hawai'i"
"10158","5508","Major in Business and Math. Minor in French","Learn how to be more involved in the Business and Math field","earning a college degree in business administration"
"10212","5509","a barista","multi-tasking skills, responsibility, attention to deatil and social skills. ","becoming a pilot. "
"10216","5510","a doctor's assistant","responsibility, medical science, computer applications and much in the health field","becoming a pediatrician"
"10214","5511","a book critic assistant","good reading skills ","get paid for reading books"
"10225","5512","is to graduate from higschool, and run in college. From there I would like to train as an athletic trainer","to become an ahtletic trainer or physical therapist","owning my own clinic"
"10221","5513","a tattoo artist","to be very artistic","tattooing people"
"10220","5514","Medical Administrative Assistant to mental or physical health","Communication and organization skills, as well as some computer skills, while learning how to deal with certain mentally- unstable people","Art Psycology. "
"10223","5515","My immediate goal is to work as a personal trainer to cage fighters","This position will help me learn how to interact with people and make them better fighters","as i persue my long-term goal of owning my own fighting center"
"10219","5516","My immediate goat is to work as a aquarium animal attendant","work well with animals and learn about sea life","as i pursue my long-term goal of earning a college degree in marine biology"
"10222","5517","a Dirt Bike Mechanic","more about motorcycles","earning a college degree in automotive"
"10224","5518","My immediate goal is to work as a Fish and Game Officer","Wildlife managment skills and responsibilities","A college degree in biology and law enforcment"
"10227","5519","a hostess, waitress, or pastry plater","the inner workings of a resturant","becoming a pastry chef and having my own buisness"
"10226","5520","airforce trainee","teamwork, honor, courage, gun skills, pressure enviromentation skills","eventually gaining the status as combat controll trafficker and learining that serving others before myself is more rewarding than a pencil pushing job back home"
"10218","5521","My immediate goal is to find some sort of position in a local Airline","This positoin will help me learn the different positions in airlines that will help me become an airplane pilot","As I pursue my long-term goal of a college degree in air transportation"
"10215","5522","Retail","Communication ","earning a degree in buisness"
"10213","5523","Cashier","to comunicate","being a profectional photographer and selling my pictures"
"10217","5524","veterinariands assistant ","animal behaviors","animal knowladge"
"10228","5525","A team member at a restraunt, or anything simple and accessible to help start me out. I want to save money for a college fund","how to work with people that i don't already know. The position will teach me how to solve problems with co workers in the future. ","going to college and earning a degree in social studies"
"10230","5526","a sale associate","skills in the retale industry","Going to collage and becoming a nurse"
"10231","5527","a sales associate ","skills needed in the work fource","going to college and becoming a registerd nurse"
"10139","5528","administrative assistant or a directors assistant","office procedures and how to have a creative view on things","becoming a writer or a movie director or a play writer. "
"10138","5529","Administrative assistant","I would like to learn how to talk to people better and to get out of my shell.  I would also learn how to be responsible with other people's money and to make the right decisions.  ","I would like to go to Plymouth State University and get my college degree in business administrative and mathematics.  "
"10235","5530","as a sales associate","more job skill","be a pro football player or go to the army"
"10233","5531","as a Salas associate ","it would help me learn more job based things","my gole is to be a hire dresser and a vet assent and an Ina or a masuses "
"10233","5532","as a Salas associate ","it would help me learn more job based things","my gole is to be a hire dresser and a vet assent and an Ina or a masuses "
"10189","5533","An AC130 Pilot or TV gunner","How to protect my fellow troops on the battle field and enhance my flight skills","Helping protect my country and her allies"
"10237","5534","a co-actor with you in big movies","to gain experiance and learn how to develop my acting skills in more depth","becoming and actress"
"10238","5535"," a forestry worker","how to take care of wild animals and the Earth","earning a collage degree in forestry management"
"10239","5536","Medical Exaiminer Tech","Everything thing that i need to know in order to do an autopsy correctly and throughly so i may see everything that may be critical to the case","Being head of the Morgue"
"10147","5537","a legal research assistant at Professional Business Associates.  ","the ins and outs of a law office and allow me to gain the experience neessary to excel in the job market","becoming a lawyer, and eventually opening my own law firm. "
"10186","5538","My immediate goal is to become navy seal and learn form there","many things of becoming one"," getting degree of becoming navy seal"
"10240","5539","automotive teach","more about the career i wanna learn","making  it throw the job"
"10242","5540","A clerk","to operate a computer and work with people","becoming a computer security specialist"
"10203","5541","to become an administrative assistant","office procedures","as i pursue my long term goal pf making enough money to support myself"
"10245","5542","as bank teller. ","how to handle situations in the workplace and to get better social skills","earning a college degree and becoming a neurosurgeon"
"10243","5543","the immeadiate goal is to work as: president of death","this position will help me learn the meaning of life","as i pursue me long-term goal of immortality"
"10246","5544","dental assistant","it will help me learn some of the things that i will need to know to become an orthodontist and get through dental school","attending college to earn my degree in human anatomy and attending dental school after college, to further my education in becoming an orthodontist"
"10253","5545","a hard working employee","how to provide for myself and understanding the value of money","saving money for college, so I can get my Registered Nursing Degree"
"10254","5546","An Architect","Drafter","Using my imagination to create houses that are unique and the most convenient"
"10255","5547","Dental Assistant","How to become a great Dentist","Being an orthodontist"
"10258","5548","Cashier","to cooperate with others","earning a colledge degree in Electrical Engineering"
"10259","5549","Cashier","How to interact with the customers and how to take care of money, and see how the inner workings of a cashier money works","Earning enough money to pay for my tuition in college"
"10260","5550","an intern","procedures in the medical field","getting my bachelor degree in college"
"10261","5551","Dentist","tooth","earning a college degree in dentistry"
"10183","5480","a floor manager at Hooters","how to manage people and learn how to handdle different situations","becoming a fire fighter"
"10157","5552","Legal research assistant","office procedures

resonsibility

work ethic","becoming an attorney"
"10263","5553","a well known lawyer who has a high court win ratio","independecy and lern how to talk and manover ou or in situations","earning a masters degree in law"
"10143","5554","An employee at a pet store","How to care for animals","Working in a pet rescue facility"
"10266","5555","sales associate","money","being in the military"
"10267","5556","an LNA","to work with old people","an x-ray tech"
"10269","5557","Sales Associate","Skills in the retail industry","Going to college and getting a degree in nursing"
"10268","5558","Mechanic

Pastry Chef","Hands on and patience","5 colleges"
"10244","5559","Police for the military, U.S Marshal, Military Air Force Branch","more about technology","earning a college degree in criminal justice"
"10271","5560","a christian youth pastor","the procedures,knowledge and skills needed to build and nurture a christian ministry","becoming a worship leader & pastor"
"10274","5561","Physician","about my health and help me when I'm active in sports with keeping myself healthy","earning a college degree in medical school"
"10272","5562","music student teacher","how to teach music properly","becoming a music publisher or get a job in the music feild"
"10275","5563","I would like to become a store clerk","I would like to learn how to manage the stocks that are coming in","becoming a doctor"
"10276","5564","Student Teacher","Working hands-on with children and learning different teaching styles or methods","Earning a college degree in Elementary and Secondary Education"
"10279","5565","sales associate","skills in the retail industry","of joining the military and becoming engaged in law enforcement.  "
"10280","5566","a sales associate","cashing customers in and out","earning money to get a car and an apartment"
"10283","5567","Casher","To be responsible for  what i had done to people","Becoming a teacher"
"10286","5568","a cashier","customer service and life-skills","becoming successful in life"
"10241","5569","to be choosen as Future Business Leader","experience in getting interviews, and working towards becoming an effective member of the business workforce","earning a Master's degree in Business Administration"
"10264","5570","Cashier/  Stock Clerk","Communication Skills and People Skills","Being a psychologists "
"9868","5571","aTechnical Instructor for multiple TADSS Simulators","and demonstrate my experience and training and contribute to the successful operation of your company and the TADSS systems","Technical Instructor"
"10292","5572","a part time cashier","how to handle money responsibly and be reliable","becoming independent"
"10293","5573","an administrative, hospitality or tourism","assisting patient, office procedures, and exploring the other country that i haven't been","earning a college degree in business degree, hospitality and tourism management"
"10295","5574","Information Technology","Computer Uses","Acquiring and maintaining a good job involved with technology and computers"
"10295","5575","Information Technology","Computer Uses","Acquiring and maintaining a good job involved with technology and computers"
"10297","5576","Seeking a position as cashier at Big Island Candies","managing skills, time management skills and communication skills with fellow co-workers, and customers","earning a degree in business and advertising. "
"10296","5577","Cashier","Cash management and social skills","Earning a college degree in interior design"
"10298","5578","a labor and delivery nurse","how to work under pressure","earning a college degree in nursing"
"10299","5579","My immediate goal is to go to college to become a registered nurse. I'm seeking the job position as a nurse","The position that will help me learn about becoming a registered nurse would be working as an CNA at first","While I persue my long turm goal of becoming a registered nurse I'll be working a part time job so I can afford it"
"10301","5580","a phlebotomist","hospital experience such as the environment and the long hour shifts. ","earning a bachelors degree in nursing "
"10142","5581","a sales associate","expand on my workbase skills","graduating high school and having a full time job after gradaution. "
"10312","5582","a cashier, anything clerical, or anything with animals","How to run a cash register. how to scan labels efficiently.

How to file papers, use a copy machine, a paper shredder.

More ways to care for other animals other than cats","Getting a career goal and finding what to major in when I attend college fall of 2015"
"10311","5583"," a cook in a local restaurant","to cook quickly and proficiently","an EMT for the Fire Department"
"10309","5584","cashier at Big Island Candies,a local company that I can see myself growing with. ","a greater sence of professionalism and personal responsibility. ","going to college to study Computer Technology. "
"10313","5585","a factory worker","fse","gaining full time employment at a respectable company. "
"10315","5586","A farmhand and learn about what it takes to be good at my job until i can progress further into my career","the skill i need to advance in my career of choice","owning my own farm and running it effieciently and mkae enough money to support the lifestyle of my choice"
"10318","5587"," any postion","how to help people more efficiently and i will also gain more customer service skills","living comfortably with a wife and kids"
"10320","5588","Obstetric nurse in labor and delivery","nursing work experience, as well as specialized experience in obstetrics","earning a masters degree in nursing "
"10324","5589","A cashier","Patience","Earning a collegiate degree in the medical field"
"10325","5590","Entry level in the broadcasting field","Broadcasting basics. ","NFL sports analyst"
"10323","5591","Hospital nurse","patient care, and communication about staying healthy","Head nurse"
"10328","5592","an office worker","office procedures and social communication","earning a college degree in business administration"
"10329","5593","an stock clerk","better communication skills","finding what I am really good at"
"9378","4996","at the Carter's, the childrens clothing outlet, as a sales associate","improve customer service skills and gain more experience in interacting with customers. ","graduating highschool and earning a college degree"
"10330","5594","a graphic designer","creativity","earning a career college degree in culinary"
"10333","5595","soundman","backstage procedures","earning a college degree in audio engineering"
"10334","5596","any entry level job","to organize record and learn the meaning of hard wrk","earning a degrees in the automotive industry "
"10335","5597","Most likely a clerk, cashier or a customer assistance. ","Discipline, Customer Service, and Hard Word","Becoming a Worship Pastor"
"10336","5598","cashier","accounting","earning a college degree in accounting and business"
"10338","5599","My goal is to obtain a part time cashier position in retail","business","getting a degree in business "
"10341","5600","A ukulele sales men the title I am looking for is to be in sales","This position will help my people skills","A college degree in music"
"10342","5601","Chef in Culinary Arts","This will help me learn the different way on cooking different ingredients because i love to cook","To pursue my long-term goal is to finish what i started and make the best of it"
"10343","5602","My immediate goal is to obtain the highest education i can apply to my life","This will give me an oppertunity to obtain a good career after college","As i pursue my long-term goal of earning a college degree in business administration "
"10345","5603","part-time position as a Nurse's Aide ","to help other people, to gain experience in the work force, for career advancement","becoming a Registered Nurse"
"10346","5604","Cashier ","to improve my people skills and communication skills","business "
"10347","5605","a cashier to  gain experience from big island candy","this position will help me learn to gain people skills with the customers and have experience in handling with money","My goal is to learn different types of skills to be able to expand my choices and be able to work in different ways. "
"10285","5606","a cashier","customer service and life-skills. ","live comfortably with a husband, children, and birds"
"10349","5607","I am seeking employment. If it is a possibility I would like you to consider me, because I am willing to work","This position will give me the necessary knowledge to work well with people","My long term goal is to get a career that i love doing, and getting this job will help me obtain my future goals. "
"10353","5608","an chiropractor","the art of healing, and the spine ","being the best chiropractor "
"10354","5609","architect","biulding and construction","landscape architect"
"10352","5610","a sales associate","basic interaction skills","earning a college degree in business"
"10316","5611","Marine Scientist","To study the oceans environment","earning a college degree in Marine biology"
"10355","5612","a  Certified Nursing Assistant","how to assist and care for patients","becoming a nurse"
"10356","5613","My immiediate goal is to obtain a part time sales associate possition that offers a possibility for career advancement. ","People skills","learning how to perform in a professional business setting "
"10358","5614","My immediate goal is to become an attorney","This will help me learn to communicate with other people and maintain my schedules","as I pursue my long-term goal pf becoming a prosecutor"
"10361","5615","obtain a part time position at any hospital as a nurse. this will help me learn more about  how to be a good nurse","how to become a good nurse","college degree on nursing"
"10362","5616","Seeking a part time job as a Nurses Aide at Kapiolani Children's Hospital  ","how to assist a Nurse ","earning a college degree"
"10344","5617","Cashier","Manage money","being in buisness"
"10364","5618","My immediate goal is to work as a cashier","This position will help me learn how to use a cash register, and earn money for college","as I pursue my long-term goal of earning a college degree in business"
"10229","5619","an administrative assistant","customer service management and office procedures","gaining experience and building a long-term career in office management with opportunities for career growth"
"10365","5620","Cashier at Big Island Candies","How to be courteous to customers and how to multi-task","Making enough money to earn a Master's degree in Criminal Justice Psychology"
"10366","5621","Blasting specialist","To protect the United States","To join the military and be a blasting Specialist"
"10368","5622","an sales clerk","how to approach people and to help out people. It will help me become a nicer person and someone that can persuade people and to interest people to buy something","Getting a college degree and becoming a psychologist"
"10370","5623","Cook","Nutrition and Food Service","Owning My Own Restaurant"
"10369","5624","My goal is to obtain a part time, seasonal cashier or stock clerk position in retail","This position will help me to learn all the major work details about how to maintain the cash register and maintain the ledger folio as the seasonal cashier so that at the end of the season I have all the required details about the cash inflow and the amount of expenditure incurred by the company","As I pursue my long term goal of attaining the post of fully fledged Accountant in a company that will later help me to attain the highest position in the Finance department"
"10371","5625","in computer maintenance","about technologies and help me purse my long-term goal of earning a college degree in technology","earning a college degree in technology"
"10372","5626","My main goal is to work as a supportive worker trying my best to help others. I am seeking a job position that shall pay for my expenses of a student","The position shall help me learn work skills, and work ethics that shall be beneficial to my performance as a worker. Also giving me a chance to see how i am doing holding a job","Making enough money to support my daily needs of living. And finding a work place suitable for me. So that i could settle overtime and have a good job"
"10374","5627","Stock Clerk","efficiantly sort items and work with many different people","earning a college degree in the medical field"
"10375","5628","My immediate goal is to work as a clerk","The position will help me learn how to pursue long-term goals of earning a college degree in business administrarion","It will help me earn a college degree in fire science"
"10382","5632","a stock clerk","organization and responsibility","becoming a business woman"
"10383","5633","a cashier","how to count money quickly and efficiently","earning a college degree in accounting"
"10332","5634","stock clerk","responsibility ","earning a college degree in liberal arts"
"10385","5635","chiropractor","how to help older people","being a chiropractor"
"10386","5636","cashier","interact with customers and the importance responsibilities","becoming a independent, responsible adult"
"10363","5637","Stock Clerk","Mathematics, How to keep track of and manage company stocks","becoming an electritian "
"10363","5638","Stock Clerk","Mathematics, How to keep track of and manage company stocks","becoming an electritian "
"10363","5639","Stock Clerk","Mathematics, How to keep track of and manage company stocks","becoming an electritian "
"10363","5640","Stock Clerk","Mathematics, How to keep track of and manage company stocks","becoming an electritian "
"10426","5661","a nurse's aid for Kapi'olani Medical Center","how to  keep patients comfortable and tend to their basic needs.
","earning a college degree in nursing"
"10449","5669","a neonatal nurse, neonatal technician, or neonatal physcal therapist","how to take care of sick babies and nurse them back to health","earning a college degree at either Baylor or OU in neonatology
"
"10448","5670","A cashier","How to handle money","Handling my expenses as i get older"
"10451","5671","Therapist","To cope with feelings ","actress"
"10451","5672","therapist","To cope with feelings , and to help others with thiers","being an actress"
"10450","5673","Labratory technichian","the procedures and rukes of a Lab","becoming a Genetic Microbiologist"
"10450","5674","Lab tech","Lab procedures and rules","becoming a genetic microbiologist "
"10457","5675","Manager assistant","store procedures","Earning the position of manager"
"10436","5676","babysitting or working with underpivalged. ","To work with children","Having 4 year collage. "
"10458","5677","A vet","Medical treatment","Becoming a perfesional at medical services"
"10461","5678","Pediatrician","How to help others","earning a college degree in medicine
"
"10462","5679","As a lawyer","how to help others and not care just about myself","earning my college degree in business"
"10464","5680","Pedeatrition","How to take care of kids, and procedures in the medical force","Getting a Degree in Medical forces"
"10467","5681","An intern for a psychology office","Valuable working skills and how to work in the field of psychology","Becoming a psychological geneticist"
"10471","5682","an elementary teachers assistant","ways of teaching","graduate college with a degree in teaching"
"10478","5684","a cashier at Big Island Candies","to be responsible","running my own business in the future"
"10491","5686","Administrative Assistant","office procedures","earning a college degree in business administration
"
"10490","5687","an administrative assistant","office procedures","of earning a college degree in pre-law"
"10489","5688","a cop","laws, theift","earn a change to show what i can do"
"10501","5689","a Speechpatholigist","How to get along with people better,and help them over come there obstacles","Speechpatholigist"
"10492","5690","as any position in your company","to be responsible and take care of my business and to get an idea how life is in the working industry","of getting my doctoral degree and soon to be manage to work as a radiologist"
"10495","5691","Assistant to all things needed in the shop","How to deal with clients and learn what working in a shop is like. So I will know how to handle situations as they arise","Becoming a cosmotoligist doing all things included such as hair, makeup, and nails"
"10493","5692","a veternerian","how to care for animals","getting a college degree as being a vet"
"10496","5693","writer;designer;poetrist;artist","learn that being successful is an important thing in life to do these things","of being successful and making sure i can do these things and look  forward to doing them"
"10502","5694","an intern","the system","broker"
"10500","5695","Assistant chef or Apprentice chef","Food preperation, how to cook, and many recipes","Becoming an Executive, or Head chef, and owning my own resturaunt"
"10503","5696","Hair Stylist, or do Makeup","How to be more resonsible, and become a better Hair Stylist and a Beautitiion","Having my own hair, nail, and make up salon"
"10498","5697","an employee vetrinarian","About animals","A vetrinarian"
"10494","5698","an assistant manager","to help myself and other people without them asking or telling me to","earning a college degree in business administration
"
"10509","5699","CEO","responsibilites","aerospace engineering"
"10507","5700","An secratary assistant","Office procedures","Getting my doctorate"
"10513","5701","a defensive lawyer","to argue my point, while at the same time keeping people out of trouble","being a lawyer"
"10508","5702","a nurse","to nurse","idk"
"10512","5703","An Orthopedic Surgeon ","How to perform procedures","Earning an Masters degree"
"10518","5704"," as an administrative assisstant","office procedures, and what it takes to run a business","Earning a master's in business administration, and then go to law school"
"10515","5705","An Engineer","how an engineer works ","getting a degree in engineering"
"10517","5706","A secretary assistant","how to/what to do in to help people, and how not to mess up","earning a college degree in nursing"
"10521","5707","i want to play in the NFL","how to become a leader, hard worker, and getting to meet new people. ","making it into the hall of fame, winning 2-3 super bowls, and being named to 10-11 pro bowls"
"10516","5708","Professional ball player then go into engineering after that before im 40","More about people and how they work together in different situations","civil egineer"
"10511","5709","air force recuiter","JROTC","to join the air force
"
"10925","6046"," carry out","more about the work world. "," working full time"
"11017","6047","my immediate goal is to work as an elementary school teacher. ","this position will help me learn new techniques of how to teach to better myself","as i pursue my long term goal as earning a college degree in education"
"11029","6051","a waitress","social skills","earning a medical imaging degeree from Marshall University"
"11030","6052","Certified Nursing Assisatance","nursing skills","obtaining a Bacholers in the Science of Nursing"
"11032","6053","Cashier","People Skills and Teamwork","Earning a College degree in Culinary Arts"
"11034","6054","Registered nurse","How to be a good nurse and prepare me for the future","Get my college degree and go into the nursing field "
"11035","6055","an administrative assistan","office procedures","earning a college degree in business administration"
"11036","6056","waitress","how to communicate with others","earning a degree in physical therapy"
"11033","6057","A position that offers a possibility for career advantage","people skills ","earning a college degree in my career choice"
"11038","6058","A warrior seeking to aid a hero","Honosty and Loyalty","earning a college degree in exercise physiology"
"11044","6059","a waiter ","social skills ","going into a field of business"
"11039","6060","pizza chef","social skills and responsibility","electrical maintance"
"11043","6061","one of the cooks","social skills and more responsibilities","earning a college degree"
"11045","6062","your personal assistant manager","responsibility ","owning my own business one day "
"11048","6064","waitress/cashier","social skills","earning a degree in radiology"
"11047","6065","a nursing assistant","new things about what to expect in the hospital","earning a college Masters degree in Ultrasound"
"11026","6066","warrior","fighting skills","becoming a world-renowned hero"
"11052","6067","a waitress","responsibility and people skills","earning a college degree so I can become a pharmacist"
"11055","6069","a receptionist. ","office skills and prepare me for a future job","becoming an occupational therapist"
"11049","6070","waiter","more about buisness acts in a small buisness","earning a experience in working, buisness and customer contact"
"11058","6071","My immediate goal is to work as a waitress","This position will help me learn how to be organized and learn what it is like to work with people for further experience","I will pursue my long-term goal of opening my own pizza place. "
"11059","6072","a waitress","better people skills and time management","earning a college degree in nursing"
"11057","6073","a graphic designers assistant","the skills needed to maintain a well organized store","owning and operation my own t-shirt or sign business. "
